production,number_of_movies,domestic_revenue,total_revenue
Jeff Rice Films,9,"7,605,256","7,850,520"
Filmscience,9,"5,264,166","7,920,721"
Telefe,9,"4,329,171","63,208,697"
Super Crispy Entertainment,9,"4,017,559","4,555,867"
Bayerischer Rundfunk,9,"4,004,865","30,474,463"
Huayi Brothers International,9,"3,368,566","449,221,518"
Non-Stop Productions,9,"3,099,146","91,303,078"
SSS Entertainment,9,"3,044,095","3,058,551"
Proximus,9,"2,834,660","22,675,880"
Preferred Content,9,"2,591,958","8,772,451"
Warp Films,9,"2,560,754","36,794,141"
Centre Du Cinema Et L'Audiovisuel De La Federation Wallonie Bruxelles,9,"1,490,419","21,840,974"
Headgear Films,9,"1,466,989","11,858,127"
Electric Shadow Company,9,"1,287,936","9,326,611"
Film Fund Luxembourg,9,"1,179,993","14,114,260"
Ontario Creates,9,"996,283","1,729,271"
Mitteldeutsche Medienfoerderung,9,"773,834","9,900,548"
VPRO,9,"512,328","618,483"
Film Movement,9,"472,473","730,857"
Drafthouse Films,9,"207,387","7,267,252"
Glass Eye Pix,9,"172,626","1,758,598"
JoBro,9,"166,685","1,029,026"
Premiere Picture,9,"113,760","1,776,171"
Dignity Film Finance,9,"43,667","6,356,663"
Minds Eye Entertainment,9,"22,233","9,242,166"
Vision Films,9,"7,051","8,908"
Premiere Entertainment Group,9,0,"77,056"
Bad Hat Harry Productions,8,"1,041,487,477","2,735,381,962"
Matt Tolmach Productions,8,"957,338,916","2,661,321,130"
Everyman Pictures,8,"838,803,963","1,449,849,483"
Jerry Bruckheimer Films,8,"782,668,106","2,103,518,458"
DMG Entertainment,8,"624,771,531","1,754,779,537"
Red Wagon Entertainment,8,"592,747,124","1,213,097,997"
Cube Vision,8,"590,237,799","687,520,633"
Gracie Films,8,"574,925,763","1,145,275,610"
Trigger Street Productions,8,"374,332,570","996,333,807"
China Film Company,8,"359,059,989","2,752,196,519"
Aardman Animations,8,"332,685,255","1,069,828,522"
Scholastic Entertainment Inc.,8,"286,746,547","835,161,867"
Offspring Entertainment,8,"273,053,830","726,321,708"
Sikelia Productions,8,"258,528,659","722,344,295"
Feigco Entertainment,8,"245,377,226","509,480,271"
Vendian Entertainment,8,"224,904,055","467,397,928"
Image Entertainment,8,"208,236,506","555,441,803"
Overture Films,8,"183,983,289","311,771,376"
China Film Group,8,"176,830,538","792,948,523"
OddLot Entertainment,8,"171,662,190","313,221,878"
Amblin Partners,8,"159,227,644","359,183,972"
Electric City Entertainment,8,"145,617,243","275,405,702"
Right of Way Films,8,"142,937,754","268,332,122"
Media Asia Films,8,"133,263,457","482,829,516"
Astral Media,8,"119,053,359","128,628,545"
Bazelevs Company,8,"104,345,744","248,000,972"
Codeblack Films,8,"100,930,948","112,519,964"
Campbell Grobman Films,8,"81,753,801","171,571,084"
Northern Lights Films,8,"76,209,870","85,243,404"
New World Pictures,8,"75,302,916","75,314,064"
Union Investment Partners,8,"74,658,272","102,470,963"
Bim Distribuzione,8,"74,619,953","207,625,921"
Blue Tongue Films,8,"56,696,604","86,774,690"
Wildgaze Films,8,"54,554,607","106,357,825"
Wonderful Films,8,"51,678,164","58,674,542"
Fragile Films,8,"51,234,426","160,742,701"
BH Tilt,8,"49,533,970","67,139,210"
Nippon Television Network,8,"47,249,632","877,522,369"
DJ Films,8,"47,193,472","200,239,682"
Silverwood Films,8,"44,799,196","57,712,354"
BNP Paribas Film Fund,8,"42,218,938","312,813,462"
Item 7,8,"40,534,681","65,509,510"
Lotus Entertainment,8,"39,695,895","58,079,057"
Potboiler Productions,8,"38,528,369","111,357,348"
The Picture Company,8,"36,438,036","118,684,985"
Animal Kingdom,8,"36,232,256","61,156,118"
Shivhans Pictures,8,"28,770,688","55,243,460"
Rising Star Productions,8,"25,052,538","91,139,027"
Armory Films,8,"22,882,549","31,864,400"
Cinelou Films,8,"20,034,973","66,397,909"
Serendipity Point Films,8,"18,963,539","59,255,190"
Journeyman Pictures,8,"16,876,765","29,733,164"
Arclight Films,8,"13,076,944","42,368,137"
Haut et Court,8,"11,245,902","23,747,765"
Tempo Productions,8,"11,044,657","31,093,358"
Adelaide Film Festival,8,"9,695,773","22,728,485"
Egoli Tossell Film,8,"8,670,742","49,261,999"
Indigo Film,8,"7,335,776","78,343,927"
History Films,8,"7,120,077","11,288,684"
Ambi Media Group,8,"5,801,249","10,411,451"
Caviar,8,"4,023,591","27,686,907"
Film House Germany,8,"3,636,430","18,939,317"
Gunpowder and Sky,8,"2,894,098","6,157,185"
Eros International.,8,"2,582,777","10,866,357"
The Canada Media Fund,8,"2,491,082","2,761,029"
Tornasol Films,8,"2,272,845","51,568,419"
Distant Horizon,8,"1,941,652","8,755,986"
Motlys,8,"1,897,494","7,006,011"
Sight Unseen,8,"1,894,837","4,630,431"
National Film Board of Canada,8,"1,786,959","3,228,516"
Yehoshua Rabinovich Tel-Aviv Foundation for the Arts,8,"1,753,567","2,796,480"
Department of Motion Pictures,8,"1,501,363","2,183,191"
Focus World,8,"1,407,108","10,740,319"
YLE Finland,8,"1,219,907","14,090,439"
Beachside,8,"1,195,449","3,893,170"
Le Pacte,8,"1,115,384","29,784,029"
Heyi Pictures,8,"1,071,589","345,661,300"
Salem Street Entertainment,8,"939,830","959,103"
Louverture Films,8,"784,716","1,207,476"
Keshet,8,"781,611","953,658"
Razor Films,8,"774,718","1,939,534"
POV,8,"735,707","1,096,717"
The Independent Television Service,8,"641,367","922,878"
RTE,8,"589,825","4,940,681"
Bleiberg Entertainment,8,"440,008","689,246"
ORF,8,"435,425","2,726,971"
Night & Day Pictures,8,"417,657","423,578"
Zeitgeist Films,8,"297,665","454,563"
Magnet Films,8,"279,676","4,683,310"
Sun Entertainment Culture,8,"272,699","289,047,578"
CrossDay Productions,8,"162,302","6,103,161"
Silver Screen,8,"113,067","2,019,819"
Cinetel Films,8,"93,051","1,423,132"
Monterey Media,8,"78,772","104,049"
Nikkatsu,8,"52,087","552,634"
Subotica Ltd,8,"42,003","1,534,221"
Phase 4 Films,8,"38,856","38,856"
HBO Europe,8,"26,105","462,662"
VMI Worldwide,8,"22,233","22,233"
Shoreline Entertainment,8,"15,908","400,793"
Samson Films,8,"15,643","1,218,180"
BoulderLight Pictures,8,"3,328","287,928"
RLJ Entertainment,8,0,"386,744"
Carl Jackson Studios,8,0,0
Media Luna New Films UG,8,0,0
Syncopy,7,"1,945,132,877","4,782,382,606"
Chris Meledandri,7,"1,642,848,674","3,713,732,726"
Cruise-Wagner,7,"1,107,923,624","3,031,872,684"
Lightstorm Entertainment,7,"968,579,680","3,241,940,864"
MRC,7,"900,186,066","2,602,301,743"
Alphaville,7,"678,508,753","1,685,520,591"
Robert Simonds Company,7,"533,966,250","818,504,289"
Laurence Mark,7,"510,849,614","973,707,076"
Tapestry Films,7,"414,226,042","571,169,500"
Brownstone,7,"371,996,159","662,587,969"
Ghost House Pictures,7,"371,588,954","672,174,554"
Tim Burton,7,"370,227,774","1,092,194,480"
Initial Entertainment Group,7,"353,069,902","760,022,235"
Reuben Cannon Productions,7,"334,770,632","336,321,378"
TPS Company,7,"306,570,619","312,558,646"
Flower Films,7,"295,712,266","615,921,150"
Infinitum Nihil,7,"263,699,720","734,956,196"
Nick Wechsler,7,"259,774,149","484,817,630"
Cold Springs Pictures,7,"253,538,940","566,025,287"
Twisted Pictures,7,"231,503,166","561,680,473"
Interscope Films,7,"223,676,887","450,026,017"
Strike Entertainment,7,"220,560,999","623,137,435"
Gulfstream Pictures,7,"174,429,511","364,045,436"
Principato-Young Entertainment,7,"148,046,316","244,894,897"
Gloria Sanchez,7,"128,834,728","178,419,304"
Vendome Pictures,7,"91,614,622","342,994,070"
Kanzaman Prods,7,"90,247,833","188,497,012"
Wildwood Enterprises,7,"88,257,651","130,435,661"
Fundamental Films,7,"80,255,501","353,859,150"
Sodec,7,"75,618,053","195,044,979"
Gramercy Pictures,7,"69,014,828","80,110,857"
AI Film,7,"66,562,498","123,347,746"
Boies/Schiller,7,"61,832,588","166,893,431"
Mediapro,7,"60,111,646","205,976,199"
Amasia Entertainment,7,"52,066,290","70,824,693"
Avenue Pictures Productions,7,"51,611,736","133,846,637"
Mimran Schur Pictures,7,"47,655,158","71,867,389"
Merced Media Partners,7,"42,698,762","79,632,817"
Outlier Productions,7,"36,001,502","49,950,431"
Paradox,7,"32,288,790","64,541,890"
Echo Films,7,"29,726,457","58,292,835"
Strand Releasing,7,"26,263,837","33,233,616"
Sycamore Pictures,7,"24,930,220","34,200,434"
Foresight Unlimited,7,"24,245,556","54,899,639"
Ealing Studios,7,"22,822,133","136,042,066"
Remstar,7,"21,524,138","41,502,158"
Canana,7,"20,597,846","22,180,783"
Nala Films,7,"18,706,942","46,226,332"
Affinity,7,"15,831,743","34,183,945"
El Deseo,7,"13,910,474","162,520,592"
Amazon Prime Instant Video,7,"11,470,970","83,063,382"
Artina Films,7,"10,544,509","48,174,083"
Signature Entertainment,7,"10,507,398","14,161,023"
Aide aux Cinemas du Monde,7,"10,211,204","53,929,602"
Red Box Films,7,"8,521,643","26,194,436"
Brightlight Pictures,7,"8,169,300","19,411,244"
Parkside Pictures,7,"7,895,444","35,393,975"
Park Pictures,7,"6,616,374","6,750,551"
Centre National de la Cinematographie,7,"6,421,096","74,960,332"
Filmstiftung NRW,7,"6,087,991","55,691,384"
Nine Stories Productions,7,"5,261,745","12,540,826"
CG Cinema,7,"5,232,256","17,416,867"
Red Bull Media House,7,"5,041,029","6,191,488"
The Film Arcade,7,"4,860,317","4,941,806"
Movistar Plus,7,"4,694,123","67,070,362"
Itaca Films,7,"4,645,161","8,254,256"
Rocky Mountain Pictures,7,"3,430,838","3,439,178"
Celluloid Dreams,7,"3,407,154","20,973,844"
Mica Entertainment,7,"2,515,258","9,973,110"
Ambush Entertainment,7,"2,292,201","4,023,296"
Sveriges Television,7,"2,168,739","10,235,916"
Showtime Documentary Films,7,"2,146,998","2,755,312"
Senator Film Produktion,7,"2,037,851","30,920,576"
Rook Films,7,"1,963,766","4,550,608"
Double Dutch International,7,"1,865,396","4,134,697"
Hubert Bals Fund,7,"1,720,180","6,553,901"
Paper Street Films,7,"1,720,059","6,846,459"
Viacom 18,7,"1,704,591","22,667,440"
Filmforderungsanstalt,7,"1,617,886","25,565,804"
Metro Communications,7,"1,553,455","9,677,849"
American Masters,7,"1,525,029","3,733,547"
Beta Cinema,7,"1,467,123","7,577,610"
Fred Films,7,"1,434,391","36,370,645"
Pyramide Productions,7,"1,349,782","17,698,356"
Creativity Capital,7,"1,286,159","4,246,380"
Nord-Quest Films,7,"1,261,178","36,464,234"
ICAA,7,"1,253,071","12,857,222"
Kartemquin Films,7,"1,231,769","1,318,950"
Kew Media Group,7,"1,171,166","2,673,177"
Moxie Pictures,7,"1,160,458","1,160,458"
Edko Films,7,"1,111,797","835,528,401"
BR,7,"1,012,723","8,738,485"
Oddfellows Entertainment,7,"834,760","921,865"
Austrian Film Institute,7,"830,966","2,867,629"
MFG Film Funding Baden Wuerttemberg,7,"791,194","1,141,293"
Northern Ontario Heritage Fund Corporation,7,"755,153","2,277,891"
Pie Films,7,"741,564","1,858,726"
Les Productions du Tresor,7,"690,238","89,936,461"
Forager Film Company,7,"577,077","622,848"
Gamechanger,7,"553,911","717,293"
American Documentary,7,"533,641","909,492"
Content Media Corporation,7,"477,364","2,590,269"
Cineforom,7,"476,398","10,887,594"
Region Ile-de-France,7,"434,268","19,284,924"
Yes Docu,7,"319,588","622,786"
Hindsight,7,"291,477","17,945,841"
Good Deed Entertainment,7,"265,813","496,785"
Hopscotch Films,7,"200,151","2,269,601"
Magnet Releasing,7,"197,417","8,293,345"
Film Constellation,7,"171,419","3,327,415"
RTS,7,"161,183","264,638"
Defiant Pictures,7,"138,655","501,337"
Bertha Foundation,7,"128,958","463,107"
TrustNordisk,7,"126,532","459,963"
Les Films Pelleas,7,"115,108","4,196,659"
Relic Pictures,7,"108,506","3,630,577"
Gigantic Pictures,7,"90,800","963,557"
Deerjen,7,"88,625","96,975"
Paladin,7,"79,158","84,522"
13 Films,7,"32,452","211,160"
Media Finance Capital,7,"9,893","244,008"
Fortitude International,7,0,"2,065,327"
MarVista Entertainment,7,0,689
Fairview Entertainment,6,"1,670,469,187","4,048,993,510"
Cruel and Unusual Films,6,"1,449,982,257","3,918,146,586"
Don Simpson,6,"796,176,183","1,483,333,225"
Rideback,6,"672,958,952","1,711,624,767"
Jerry Weintraub,6,"549,401,626","1,219,383,152"
Grive Productions,6,"414,232,430","894,192,917"
Solana Films,6,"401,360,355","890,417,130"
87Eleven Inc.,6,"374,798,711","713,131,479"
Olive Bridge Entertainment,6,"363,987,257","760,204,377"
Mayhem Pictures,6,"304,888,719","419,074,383"
Laika,6,"300,158,323","563,317,260"
Shangri-La Entertainment,6,"293,695,373","539,526,939"
Mark Canton,6,"280,911,937","748,266,008"
Firm Films,6,"267,320,265","474,528,845"
Stuber Pictures,6,"262,266,111","498,250,992"
Rat Entertainment,6,"262,041,375","522,448,332"
TIK Films,6,"255,319,342","1,035,913,797"
Arad Productions,6,"254,074,965","1,021,542,504"
Room 101,6,"251,728,023","576,303,933"
Josephson Entertainment,6,"241,875,083","610,901,710"
QC Entertainment,6,"236,873,130","364,575,037"
Section Eight,6,"233,203,528","544,095,992"
Lawrence Bender,6,"232,562,719","423,268,609"
Smokehouse Pictures,6,"231,819,337","446,801,152"
Jim Henson Productions,6,"230,012,047","291,455,854"
Wrigley Pictures,6,"215,241,593","627,299,627"
Mythology Entertainment,6,"205,957,861","459,506,747"
Ashok Amritraj,6,"180,580,570","229,433,199"
IMF,6,"177,965,784","389,294,809"
Envision Entertainment,6,"165,392,367","278,912,568"
China Film Co. LTD,6,"149,964,930","1,340,867,473"
Aegis Film Fund,6,"145,948,744","463,323,711"
Molinare,6,"144,548,590","448,584,213"
Crave Films,6,"141,745,310","293,622,209"
Hercules Film Fund,6,"140,479,153","314,715,466"
G-Base,6,"129,904,736","243,781,970"
Gravier Productions,6,"125,083,186","442,239,844"
View Askew,6,"122,024,373","156,344,207"
Ram Bergman Productions,6,"106,563,454","254,307,434"
Entertainment 360,6,"95,298,562","192,333,355"
JD Productions,6,"94,996,521","189,511,129"
Kingsgate Films,6,"93,483,581","110,349,187"
Alloy Entertainment,6,"91,563,618","121,966,548"
This is That,6,"89,325,673","163,967,619"
Zero Gravity Management,6,"86,260,045","152,971,305"
Hidden Empire Film Group,6,"75,684,933","77,812,862"
Revelations Entertainment,6,"75,516,252","108,639,668"
Endeavor Films,6,"72,071,609","96,971,079"
Safehouse Pictures,6,"69,999,694","224,840,348"
Rainmaker Entertainment,6,"68,775,599","91,634,952"
Allspark Pictures,6,"59,214,252","145,495,447"
Belga Films,6,"57,008,734","306,037,999"
Significant Productions,6,"52,360,642","55,418,730"
Ink Factory,6,"51,796,209","129,158,332"
Sierra Pictures,6,"47,404,000","85,758,457"
Quad Films,6,"43,743,767","650,235,811"
Jersey Shore,6,"41,443,234","49,299,382"
Kudos Films,6,"38,766,152","109,817,071"
After Dark Films,6,"36,289,813","64,855,912"
Sparkle Roll Media Corporation,6,"34,469,369","394,661,195"
Filmax Entertainment,6,"33,905,889","64,995,440"
Caramel Film,6,"31,799,249","113,673,249"
Conde Nast,6,"30,144,645","42,946,588"
Screen Queensland,6,"29,530,254","111,503,192"
Free Association,6,"27,778,642","44,264,271"
Maiden Voyage Films,6,"25,953,348","42,318,760"
Amusement Park,6,"23,249,538","72,752,152"
Independent Lens,6,"23,022,224","23,032,036"
Arts Council of England,6,"22,829,453","39,163,724"
Apaches Entertainment,6,"22,809,071","223,393,510"
Huaxia Film & Distribution Coroporation,6,"21,271,001","829,623,903"
Cowboy Films,6,"20,252,083","59,907,569"
DCM Productions,6,"20,062,306","79,527,251"
Future Films,6,"20,038,438","54,438,089"
Copperheart Entertainment,6,"17,010,170","28,781,867"
Mongrel Media,6,"15,694,261","24,649,312"
Good Films,6,"15,442,654","28,677,427"
Chaocorp,6,"14,043,704","521,250,906"
Divide/Conquer,6,"11,414,266","21,281,061"
Blackbird,6,"9,526,278","14,722,753"
Red Chillies Entertainment,6,"9,435,250","48,780,609"
TF1 Droits Audiovisuels,6,"9,327,451","39,129,399"
Lemming Film,6,"9,205,639","18,150,479"
Darko Entertainment,6,"8,248,055","9,701,831"
Iconoclast Films,6,"7,319,534","19,399,653"
Lucky Red,6,"5,504,211","109,876,738"
IMG Films,6,"4,705,334","5,712,948"
British Film Institute,6,"4,632,229","23,641,298"
Indiana Production Company,6,"4,584,898","21,656,822"
Mattel Entertainment,6,"3,818,664","4,563,080"
DC Comics,6,"3,775,000","4,361,038"
Fantefilm,6,"3,665,129","18,489,133"
BorderLine Films,6,"3,432,112","5,984,094"
Twickenham Studios,6,"2,998,905","29,570,352"
Archipel 35,6,"2,874,578","10,308,204"
Kinology,6,"2,378,188","32,652,063"
Mutressa Movies,6,"2,369,897","3,032,559"
Low Spark Films,6,"2,348,320","5,161,590"
Cineart,6,"2,153,250","54,083,970"
Regione Lazio,6,"2,065,159","18,304,665"
Rollercoaster Entertainment,6,"2,045,619","2,606,403"
Vortex Words + Pictures,6,"2,045,619","2,599,103"
WDR/Arte,6,"2,029,261","17,716,906"
Matador Pictures,6,"1,942,177","32,024,146"
TVE.,6,"1,930,607","18,589,328"
Eros Entertainment,6,"1,869,644","22,644,429"
MetalWork Pictures,6,"1,827,604","7,618,761"
Cofinova 11,6,"1,690,294","21,701,839"
One Two Films,6,"1,678,938","11,009,372"
Ibermedia,6,"1,517,348","5,975,055"
Aperture Entertainment,6,"1,378,386","3,482,184"
The Salt Company,6,"1,367,325","9,672,000"
Cinemage 9,6,"1,322,382","17,252,779"
Madants,6,"1,309,074","2,444,111"
Wavelength Films,6,"1,204,214","1,238,013"
Sky,6,"1,195,744","5,438,245"
Autumn Productions,6,"1,158,444","5,076,066"
CBC Films,6,"1,094,526","1,135,117"
Radius TWC,6,"1,079,451","5,304,960"
Cinema Herodiade,6,"1,059,478","9,380,886"
Pacific Northwest Pictures,6,"1,051,278","2,440,721"
WestEnd Films,6,"1,013,078","10,595,344"
Syncopated Films,6,"999,235","1,248,773"
DFFF,6,"779,092","1,465,649"
Globo Filmes,6,"739,585","6,214,236"
Sunshine Pictures,6,"727,460","7,366,187"
Channel 8,6,"703,732","1,175,985"
Buffalo 8 Productions,6,"702,537","2,046,093"
Angoa Intl,6,"696,119","15,251,139"
Emperor Motion Picture,6,"647,569","159,685,402"
MPI Media Group,6,"647,201","1,771,647"
The German Federal Film Board,6,"575,833","31,369,764"
Filmgate Films,6,"563,496","18,812,850"
Le Fresnoy,6,"546,986","7,098,139"
Arcadia Motion Pictures,6,"490,038","4,437,600"
Bandai Visual,6,"474,875","25,623,084"
Ad Vitam,6,"464,466","20,470,941"
Sprockefeller Pictures,6,"463,477","807,763"
The German Federal Film Fund,6,"463,352","26,529,389"
SRG,6,"462,297","12,326,017"
MDR,6,"419,003","2,498,897"
Wing and a Prayer Pictures,6,"402,139","877,098"
Film & Music Entertainment,6,"391,942","1,421,214"
Meridian Entertainment,6,"377,028","913,305"
IFP,6,"364,882","467,254"
Broadcasting Authority of Ireland,6,"349,300","3,569,219"
Eleven Arts,6,"345,163","4,486,548"
2929 Productions,6,"339,574","6,967,663"
Shudder Films,6,"338,027","2,900,652"
