distributor,number_of_movies,budget,total_revenue,best_seller
Corsair, 2, $0," $5,269,711", A Shock to the System
Cinegalaxy, 5, $0," $5,123,359", Kabali
Focus World, 8," $10,000,000"," $5,100,344", Raw
HBO Documentary Films, 13, $0," $4,856,332", Diego Maradona
GVN Releasing, 10," $8,000,000"," $4,789,655", Gosnell: The Trial of America’s Big…
Christal Films, 4, $0," $4,650,627", Nez Rouge
Cineplex/Odeon, 4, $0," $4,514,789", The Care Bears Adventure in Wonderland
Ketchup Entertainment, 9," $9,075,000"," $4,421,738", The Love Punch
Visio Entertainment, 2, $0," $4,367,448", Seven Days In Utopia
KimStim, 16, $0," $4,322,585", Jia Nian Hua
Jour de Fete, 4, $0," $4,300,390", Mrs. Palfrey at the Claremont
Cloud Ten Pictures, 1," $18,500,000"," $4,221,341", Left Behind
PBS Distribution, 10, $0," $4,040,519", The Chaperone
ArtAffects, 8, $0," $4,039,628", The Other Side of Heaven 2: Fire of F…
Fun Academy Motion Pictures, 1," $25,000,000"," $3,823,620", Sgt. Stubby: An American Hero
Benji Returns, 1, $0," $3,817,362", Benji: Off the Leash!
The 7th Floor, 3, $0," $3,752,049", Room
Romar, 3," $13,000,000"," $3,715,333", BloodRayne
Manhattan Pictures Internat…, 1, $0," $3,707,201", The Secret Lives of Dentists
Legacy Releasing, 16, $0," $3,690,782", Shiloh
TLA Releasing, 27," $1,425,000"," $3,670,315", Latter Days
Breaking Glass Pictures, 57," $6,840,000"," $3,667,507", Mi gran noche
Penland, 2, $0," $3,635,801", China Cry: A True Story
ATO Pictures, 4, $0," $3,590,634", The Oranges
Hannover House, 26," $4,750,000"," $3,513,069", Turtle: The Incredible Journey
Sanrio Communications, 1, $0," $3,500,000", The Glacier Fox
Outrider Pictures, 10," $600,000"," $3,438,552", American Adobo
Novus Content, 1, $0," $3,424,454", Til Death Do Us Part
Stony Island Entertainment, 1, $0," $3,377,778", Is Anybody There?
Trans World Entertainment, 7, $0," $3,359,127", Kansas
Borotoro, 1," $11,000,000"," $3,231,251", Romance and Cigarettes
Halestorm Entertainment, 6," $500,000"," $3,146,608", The Singles Ward
City Lights Pictures, 10, $0," $3,137,661", O Ano em Que Meus Pais Sa?ram de F?…
Wingate Distribution, 1," $2,900,000"," $3,127,472", Boynton Beach Club
Rat Entertainment, 1, $0," $3,075,052", Paid in Full
Artistic License, 26," $2,000,000"," $3,052,295", Wandafuru raifu
WinStar Cinema, 4," $5,955,000"," $3,051,759", The Source
Mitropoulos Films, 8, $0," $3,046,984", Elsa & Fred
Concorde, 4, $0," $3,036,636", Brain Dead
Aloha Releasing, 5, $0," $3,033,137", G
Raja Cinema, 1, $0," $2,997,278", Mission Istaanbul
Aron Govil Productions, 1, $0," $2,992,880", Shoot on Sight
Railroad Square, 2, $0," $2,968,790", Vers le sud
Cinelou Releasing, 2," $8,000,000"," $2,941,179", Cake
Studio Three Film Corporation, 2, $0," $2,931,421", Popcorn
Truly Indie, 26," $178,500"," $2,922,555", Valentino: The Last Emperor
Taurus, 7," $9,000,000"," $2,894,868", Class of 1999
Zipporah, 8, $0," $2,883,102", National Gallery
Paragon Pictures, 4, $0," $2,847,907", Night of the Demons
Hammond Entertainment, 5," $9,000,000"," $2,843,790", Greater
Cardinal Film Releasing, 1, $0," $2,732,684", Hot Moves
Amazon Studios/Roadside Att…, 1, $0," $2,719,698", Chi-raq
FM Entertainment International, 2, $0," $2,699,154", The Kindred
KKM Enterprises, 1, $0," $2,645,991", El gran milagro
Luke Films, 1, $0," $2,627,016", Therese
Peace Arch Releasing, 7, $0," $2,562,197", JCVD
Innovation Film Group, 9, $0," $2,549,524", The Legend of Johnny Lingo
Matson, 8," $2,000,000"," $2,545,432", It's All Gone Pete Tong
Grasshopper Film, 37, $0," $2,545,388", Lu bian ye can
Arrow Releasing, 9, $0," $2,541,414", Ponette
European International, 2, $0," $2,522,881", Le retour de Martin Guerre
"Cinema Tropical, FIGA Films", 2, $0," $2,518,193", Pelo malo
IDP/Samuel Goldwyn Films, 3, $0," $2,516,228", That Sugar Film
Video Sound, 4," $1,000,000"," $2,502,199", Fiza
Myriad Entertainment Group, 4, $0," $2,456,852", La Danseuse
Exclusive Releasing, 2," $10,000,000"," $2,453,387", Parkland
Avatar, 10," $100,000"," $2,366,649", Kandahar
Power Point Films, 1," $50,000"," $2,335,352", Gabriela
Cinestaan, 2, $0," $2,328,380", Bhoot: Part One — The Haunted Ship
BET Pictures, 1, $0," $2,291,255", Once Upon a Time... When We Were Colored
Purple Rose Films, 1, $0," $2,276,406", Escanaba in Da Moonlight
Lionsgate/After Dark, 2, $0," $2,274,489", The Abandoned
Area 23a, 13, $0," $2,272,105", Fantastic Fungi
Sycamore Entertainment Grou…, 1, $0," $2,226,888", The Eye of the Storm
Shapiro, 2, $0," $2,218,579", Def by Temptation
ABS-CBN, 14, $0," $2,152,068", The Hows of Us
RAM Releasing, 2, $0," $2,125,101", App
Counterpoint Films & Self-R…, 1, $0," $2,083,186", Awake: The Life of Yogananda
Lightyear Entertainment, 7, $0," $2,068,452", Maze
Ammo Content, 11, $0," $2,067,308", Leo da Vinci: Missione Monna Lisa
Applied Art Productions, 2, $0," $2,042,836", Delhi Safari
Maya Releasing, 12," $2,500,000"," $2,031,071", Talento de Barrio
Emerging Pictures, 32, $0," $2,025,921", Honeydripper
Vineyard Distribution, 1," $6,500,000"," $2,025,032", The Work and the Glory: American Zion
Kit Parker Films, 2, $0," $2,022,827", Nueba Yol
Doppelganger Releasing, 8," $2,600,000"," $2,017,934", Arme Riddere
